Group: 224.0.1.129              	Source: 144.92.149.96/32         	Router: 64.57.28.241      	Packets/Second:     16
Group: 224.0.1.129              	Source: 128.104.13.52/32         	Router: 64.57.28.241      	Packets/Second:     16
Group: 224.4.0.10               	Source: 130.206.3.133/32         	Router: 64.57.28.242      	Packets/Second:    320
Group: 232.223.222.1            	Source: 193.17.9.3/32            	Router: 64.57.28.250      	Packets/Second:    503
Group: 232.223.222.1            	Source: 193.17.9.3/32            	Router: 64.57.28.241      	Packets/Second:    476
Group: 232.223.222.1            	Source: 193.17.9.3/32            	Router: 64.57.28.247      	Packets/Second:    644
Group: 232.223.222.1            	Source: 193.17.9.3/32            	Router: 64.57.28.249      	Packets/Second:    419
Group: 232.223.222.2            	Source: 193.17.9.3/32            	Router: 64.57.28.241      	Packets/Second:    910
Group: 232.223.222.2            	Source: 193.17.9.3/32            	Router: 64.57.28.249      	Packets/Second:    812
Group: 232.223.222.3            	Source: 193.17.9.3/32            	Router: 64.57.28.247      	Packets/Second:   1767
Group: 232.223.222.3            	Source: 193.17.9.3/32            	Router: 64.57.28.250      	Packets/Second:   1846
Group: 232.223.222.3            	Source: 193.17.9.3/32            	Router: 64.57.28.241      	Packets/Second:   1946
Group: 232.223.222.3            	Source: 193.17.9.3/32            	Router: 64.57.28.249      	Packets/Second:   1784
Group: 232.223.222.4            	Source: 193.17.9.3/32            	Router: 64.57.28.241      	Packets/Second:    733
Group: 232.223.222.4            	Source: 193.17.9.3/32            	Router: 64.57.28.250      	Packets/Second:    825
Group: 232.223.222.4            	Source: 193.17.9.3/32            	Router: 64.57.28.247      	Packets/Second:    799
Group: 232.223.222.4            	Source: 193.17.9.3/32            	Router: 64.57.28.249      	Packets/Second:    267
Group: 232.223.222.5            	Source: 193.17.9.3/32            	Router: 64.57.28.247      	Packets/Second:    652
Group: 232.223.222.5            	Source: 193.17.9.3/32            	Router: 64.57.28.249      	Packets/Second:   1089
Group: 232.223.222.5            	Source: 193.17.9.3/32            	Router: 64.57.28.250      	Packets/Second:    701
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.247      	Packets/Second:   1139
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.241      	Packets/Second:   1139
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.248      	Packets/Second:   1139
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.242      	Packets/Second:   1139
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.250      	Packets/Second:   1139
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.249      	Packets/Second:   1139
