
Group: 224.0.1.105              	Source: 130.18.212.111/32        
Group: 224.0.1.105              	Source: 130.18.212.56/32         
Group: 224.0.1.129              	Source: 128.104.13.52/32         
Group: 224.0.1.129              	Source: 128.104.223.21/32        
Group: 224.0.1.129              	Source: 139.62.165.98/32         
Group: 224.0.1.129              	Source: 144.92.149.96/32         
Group: 224.0.1.178              	Source: 160.39.34.188/32         
Group: 224.0.1.20               	Source: 128.104.112.11/32        
Group: 224.0.1.20               	Source: 128.104.113.166/32       
Group: 224.0.1.20               	Source: 128.104.117.156/32       
Group: 224.0.1.20               	Source: 128.138.220.10/32        
Group: 224.0.1.20               	Source: 128.175.17.17/32         
Group: 224.0.1.20               	Source: 128.175.54.130/32        
Group: 224.0.1.20               	Source: 128.178.193.140/32       
Group: 224.0.1.20               	Source: 128.178.193.98/32        
Group: 224.0.1.20               	Source: 128.178.194.70/32        
Group: 224.0.1.20               	Source: 130.209.220.209/32       
Group: 224.0.1.20               	Source: 130.209.220.251/32       
Group: 224.0.1.20               	Source: 130.209.221.112/32       
Group: 224.0.1.20               	Source: 130.209.221.76/32        
Group: 224.0.1.20               	Source: 134.129.127.188/32       
Group: 224.0.1.20               	Source: 134.225.50.240/32        
Group: 224.0.1.20               	Source: 164.107.158.117/32       
Group: 224.0.1.20               	Source: 164.107.52.134/32        
Group: 224.0.1.20               	Source: 164.107.52.190/32        
Group: 224.0.1.55               	Source: 128.205.130.136/32       
Group: 224.0.23.12              	Source: 193.147.115.184/32       
Group: 224.0.255.135            	Source: 128.59.108.42/32         
Group: 224.0.255.135            	Source: 160.39.143.200/32        
Group: 224.0.60.0               	Source: 129.11.137.69/32         
Group: 224.2.127.254            	Source: 128.104.128.182/32       
Group: 224.2.127.254            	Source: 137.226.28.9/32          
Group: 224.2.127.254            	Source: 194.160.23.22/32         
Group: 224.2.2.2                	Source: 158.39.206.34/32         
Group: 224.2.2.2                	Source: 169.229.101.128/32       
Group: 224.4.0.10               	Source: 130.206.3.133/32         
Group: 225.0.0.222              	Source: 147.228.63.81/32         
Group: 225.0.0.222              	Source: 158.39.247.242/32        
Group: 226.178.217.5            	Source: 128.171.113.197/32       
Group: 226.178.217.5            	Source: 128.8.140.230/32         
Group: 226.178.217.5            	Source: 129.2.50.132/32          
Group: 226.178.217.5            	Source: 129.2.50.65/32           
Group: 226.178.217.5            	Source: 129.2.50.67/32           
Group: 226.178.217.5            	Source: 129.2.50.86/32           
Group: 226.178.217.5            	Source: 129.2.51.24/32           
Group: 226.178.217.5            	Source: 129.2.66.186/32          
Group: 226.178.217.5            	Source: 129.2.8.9/32             
Group: 226.178.217.5            	Source: 131.188.109.244/32       
Group: 226.178.217.5            	Source: 131.188.109.245/32       
Group: 226.178.217.5            	Source: 147.156.149.134/32       
Group: 226.178.217.5            	Source: 147.213.149.219/32       
Group: 226.178.217.5            	Source: 147.230.97.212/32        
Group: 226.178.217.5            	Source: 158.193.44.138/32        
Group: 226.178.217.5            	Source: 158.193.44.171/32        
Group: 226.178.217.5            	Source: 158.193.88.84/32         
Group: 226.178.217.5            	Source: 158.196.138.121/32       
Group: 226.178.217.5            	Source: 158.196.208.148/32       
Group: 226.178.217.5            	Source: 158.196.208.16/32        
Group: 226.178.217.5            	Source: 158.196.208.165/32       
Group: 226.178.217.5            	Source: 158.196.208.64/32        
Group: 226.178.217.5            	Source: 158.196.208.91/32        
Group: 226.178.217.5            	Source: 195.251.209.51/32        
Group: 230.0.0.10               	Source: 131.181.38.175/32        
Group: 230.230.230.230          	Source: 139.62.30.172/32         
Group: 232.2.3.2                	Source: 134.129.95.22/32         
Group: 232.2.3.2                	Source: 192.87.121.10/32         
Group: 232.2.3.2                	Source: 193.60.199.178/32        
Group: 232.2.3.2                	Source: 194.80.134.18/32         
Group: 232.2.3.2                	Source: 83.212.2.46/32           
Group: 232.223.222.1            	Source: 193.17.9.3/32            
Group: 232.223.222.2            	Source: 193.17.9.3/32            
Group: 232.223.222.3            	Source: 193.17.9.3/32            
Group: 232.223.222.4            	Source: 193.17.9.3/32            
Group: 232.223.222.5            	Source: 193.17.9.3/32            
Group: 232.223.222.6            	Source: 193.17.9.3/32            
Group: 233.1.14.11              	Source: 198.116.200.37/32        
Group: 233.1.14.13              	Source: 198.116.200.36/32        
Group: 233.1.14.15              	Source: 198.116.200.37/32        
Group: 233.1.14.5               	Source: 198.116.200.36/32        
Group: 233.1.14.7               	Source: 198.116.200.37/32        
Group: 233.1.14.9               	Source: 198.116.200.36/32        
Group: 233.10.43.42             	Source: 134.129.95.122/32        
Group: 233.10.43.42             	Source: 193.166.4.38/32          
Group: 233.10.43.42             	Source: 82.130.1.251/32          
Group: 233.3.18.5               	Source: 128.243.20.213/32        
Group: 233.3.18.5               	Source: 128.243.20.214/32        
Group: 233.3.18.5               	Source: 128.243.220.148/32       
Group: 233.3.18.5               	Source: 129.11.6.250/32          
Group: 233.3.18.5               	Source: 134.129.95.122/32        
Group: 233.3.18.5               	Source: 134.129.95.22/32         
Group: 233.3.18.5               	Source: 137.226.33.60/32         
Group: 233.3.18.5               	Source: 146.57.255.194/32        
Group: 233.3.18.5               	Source: 146.57.255.196/32        
Group: 233.3.18.5               	Source: 148.88.16.14/32          
Group: 233.3.18.5               	Source: 193.60.199.162/32        
Group: 233.3.18.5               	Source: 193.60.199.178/32        
Group: 233.3.18.5               	Source: 194.80.134.18/32         
Group: 233.3.18.5               	Source: 202.179.251.3/32         
Group: 233.3.18.5               	Source: 83.212.2.46/32           
Group: 233.3.18.5               	Source: 84.88.6.254/32           
Group: 233.44.15.9              	Source: 129.174.131.51/32        
Group: 233.56.12.11             	Source: 131.128.93.32/32         
Group: 233.56.12.11             	Source: 131.128.95.242/32        
Group: 233.56.12.12             	Source: 131.128.95.243/32        
Group: 233.81.229.2             	Source: 128.39.2.22/32           
Group: 233.81.229.2             	Source: 130.59.35.214/32         
Group: 233.81.229.2             	Source: 130.59.35.46/32          
Group: 233.81.229.2             	Source: 134.129.95.122/32        
Group: 233.81.229.2             	Source: 193.166.4.38/32          
Group: 233.81.229.2             	Source: 194.95.245.4/32          
Group: 233.81.229.2             	Source: 195.178.64.7/32          
Group: 233.81.229.2             	Source: 212.191.224.26/32        
Group: 233.81.229.2             	Source: 62.40.104.234/32         
Group: 233.81.229.2             	Source: 62.40.104.78/32          
Group: 233.81.229.2             	Source: 62.40.120.235/32         
Group: 233.81.229.2             	Source: 62.40.120.236/32         
Group: 233.81.229.2             	Source: 83.212.2.46/32           
Group: 234.4.3.3                	Source: 139.62.192.219/32        
Group: 235.5.5.5                	Source: 128.59.79.188/32         
Group: 235.5.5.5                	Source: 141.225.225.196/32       
Group: 235.5.5.5                	Source: 141.225.225.201/32       
Group: 235.5.5.5                	Source: 158.38.103.120/32        
Group: 239.2.11.71              	Source: 198.32.154.77/32         
Group: ff3e::caeb               	Source: 2001:4930:95:0:2989:f518:d5d3:55c6/128
Group: ff3e::caeb               	Source: 2001:620:0:8016::2/128   
Group: ff3e::caeb               	Source: 2001:620:0:8018::2/128   
Group: ff3e::caeb               	Source: 2001:620:0:8034::2/128   
Group: ff3e::caeb               	Source: 2001:630:1:309::178/128  
Group: ff3e::caeb               	Source: 2001:630:1:a::18/128     
Group: ff3e::caeb               	Source: 2001:648:2ffc:114::46/128
Group: ff3e::caeb               	Source: 2001:700:0:4513::56/128  
Group: ff3e::caeb               	Source: 2001:708:0:6::2/128      
Group: ff3e::caeb               	Source: 2001:708:30::beac/128    
Group: ff7e:140:2001:620:0:fe:0:caeb	Source: 2001:4930:95::122/128    
Group: ff7e:140:2001:620:0:fe:0:caeb	Source: 2001:610:2f0:7::219/128  
Group: ff7e:140:2001:620:0:fe:0:caeb	Source: 2001:610:308:602::a/128  
Group: ff7e:140:2001:620:0:fe:0:caeb	Source: 2001:620:0:8034::2/128   
Group: ff7e:140:2001:620:0:fe:0:caeb	Source: 2001:630:1:309::178/128  
Group: ff7e:140:2001:620:0:fe:0:caeb	Source: 2001:630:1:a::18/128     
Group: ff7e:140:2001:620:0:fe:0:caeb	Source: 2001:648:2ffc:114::46/128
Group: ff7e:140:2001:620:0:fe:0:caeb	Source: 2001:700:0:4513::56/128  
Group: ff7e:140:2001:620:0:fe:0:caeb	Source: 2001:708:0:6::2/128      
Group: ff7e:140:2001:620:0:fe:0:caeb	Source: 2001:708:30::beac/128    
